"","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeID","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","nhrs","nleaves","novertime","consecutive_holidays"
"150",45,"No","Travel_Rarely","Research & Development",2,3,"Medical",150,"Female",1,"Sales Executive","Married",50980,3,14,1,8,4,2,0,2,1,4,2,3,3,6.78769573370839,24,0,3
"151",52,"No","Travel_Rarely","Research & Development",12,3,"Medical",151,"Male",2,"Research Scientist","Married",48780,2,11,1,31,3,5,1,4,4,4,1,3,3,7.30213947990544,26,4,3
"152",42,"No","Travel_Frequently","Sales",10,3,"Marketing",152,"Female",2,"Healthcare Representative","Divorced",28370,2,13,1,19,0,5,0,2,1,3,3,2,3,6.82240701001431,28,0,3
"153",30,"No","Travel_Rarely","Sales",25,3,"Marketing",153,"Male",1,"Sales Executive","Single",24060,2,20,1,11,5,5,0,2,3,4,3,3,4,7.32245893719807,31,3,3
"154",60,"No","Travel_Rarely","Research & Development",10,3,"Life Sciences",154,"Female",1,"Manufacturing Director","Married",22690,5,18,1,33,4,29,11,10,1,1,1,3,3,6.16436182950192,29,0,3
"155",46,"No","Travel_Rarely","Sales",19,4,"Marketing",155,"Female",1,"Sales Executive","Divorced",41080,2,14,0,19,5,10,0,8,3,3,2,2,3,7.61028481012658,24,22,3
"156",42,"No","Travel_Frequently","Research & Development",18,4,"Technical Degree",156,"Male",4,"Sales Executive","Married",132060,0,13,2,7,2,6,0,4,4,4,4,3,3,6.59513538748833,23,0,3
"157",24,"Yes","Travel_Rarely","Research & Development",27,2,"Medical",157,"Male",1,"Research Scientist","Single",104220,1,17,1,6,0,5,1,4,1,2,3,2,3,10.6489253766478,25,236,4
"158",34,"Yes","Travel_Frequently","Research & Development",5,3,"Medical",158,"Male",2,"Research Scientist","Divorced",137440,0,20,1,3,3,2,1,0,4,3,2,3,4,6.20442731277533,34,0,4
"159",38,"No","Travel_Frequently","Sales",3,3,"Marketing",159,"Female",2,"Sales Executive","Married",49070,1,11,1,1,3,1,0,0,4,4,3,3,3,8.59190225035162,24,228,3
"160",40,"No","Travel_Rarely","Sales",26,4,"Marketing",160,"Female",1,"Sales Executive","Married",34820,0,18,1,21,2,20,1,12,3,3,3,2,3,6.0013538647343,31,0,3
"161",26,"No","Travel_Rarely","Research & Development",3,2,"Medical",161,"Female",4,"Healthcare Representative","Divorced",24360,1,24,0,3,2,3,0,2,1,4,1,4,4,6.28175110132159,34,0,3
"162",30,"No","Non-Travel","Research & Development",15,3,"Medical",162,"Female",2,"Sales Executive","Married",23800,4,18,3,9,2,5,1,4,3,4,1,2,3,7.9055698005698,27,83,3
"163",29,"No","Travel_Rarely","Research & Development",8,3,"Medical",163,"Female",3,"Manufacturing Director","Married",194310,1,11,0,10,3,10,0,7,2,3,3,3,3,7.17569903581267,19,0,4
"164",29,"Yes","Travel_Rarely","Research & Development",19,4,"Life Sciences",164,"Male",3,"Research Scientist","Married",17900,5,16,1,6,4,2,1,1,3,2,4,2,3,6.6512552742616,24,0,3
"165",19,"Yes","Travel_Rarely","Research & Development",4,3,"Medical",165,"Male",1,"Sales Executive","Single",76440,1,15,2,1,2,1,0,0,1,4,4,3,3,7.90606837606838,27,90,3
"166",30,"No","Non-Travel","Research & Development",2,4,"Life Sciences",166,"Female",3,"Research Scientist","Married",51310,0,15,1,10,2,9,7,8,3,1,3,3,3,6.71881566713157,22,0,3
"167",57,"No","Travel_Rarely","Research & Development",2,2,"Life Sciences",167,"Male",4,"Research Scientist","Divorced",63060,3,12,1,32,3,1,0,0,1,4,2,3,3,6.29058802308802,30,0,3
"168",50,"No","Travel_Rarely","Sales",10,4,"Life Sciences",168,"Female",3,"Manager","Married",47870,0,12,0,28,3,27,15,7,2,3,3,3,3,7.17811499771376,18,0,3
"169",30,"No","Non-Travel","Sales",10,2,"Life Sciences",169,"Male",3,"Laboratory Technician","Single",188800,0,22,1,12,3,11,6,7,3,4,2,3,4,6.28643171296296,21,0,3
"170",60,"No","Travel_Frequently","Research & Development",16,3,"Life Sciences",170,"Female",4,"Laboratory Technician","Married",23390,4,20,0,22,4,18,13,11,3,1,4,3,4,7.2179785954786,30,1,3
"171",47,"No","Travel_Rarely","Research & Development",1,3,"Technical Degree",171,"Male",5,"Manufacturing Director","Divorced",135700,5,16,2,20,2,5,0,4,1,4,3,2,3,7.80908937198068,31,59,3
"172",46,"No","Travel_Rarely","Sales",4,1,"Technical Degree",172,"Male",1,"Laboratory Technician","Married",67120,6,21,1,26,3,3,0,1,1,3,1,2,4,6.80515266299357,19,0,3
"173",35,"No","Travel_Rarely","Research & Development",15,2,"Medical",173,"Female",2,"Laboratory Technician","Single",54060,0,12,1,6,2,5,4,3,4,3,3,3,3,6.48404558404558,27,0,3
"174",54,"No","Travel_Rarely","Research & Development",2,4,"Medical",174,"Male",2,"Human Resources","Single",89380,7,11,3,19,2,1,0,0,3,3,3,3,3,7.65121484555095,20,31,3
"175",34,"No","Travel_Rarely","Sales",8,2,"Life Sciences",175,"Male",1,"Laboratory Technician","Divorced",24390,3,11,2,14,2,7,5,7,4,3,3,4,3,7.58596272554606,27,11,3
"176",46,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",176,"Male",1,"Healthcare Representative","Married",88370,2,18,0,15,3,3,1,2,3,4,3,2,3,9.1795405982906,27,234,3
"177",31,"No","Travel_Rarely","Research & Development",7,3,"Life Sciences",177,"Male",2,"Research Director","Divorced",53430,1,14,1,13,3,13,0,8,3,2,4,3,3,6.37815324858757,25,0,3
"178",33,"Yes","Travel_Rarely","Research & Development",10,3,"Life Sciences",178,"Female",4,"Research Director","Married",67280,7,22,0,15,2,7,7,7,2,3,4,2,4,8.47764719848053,27,227,3
"179",33,"Yes","Travel_Rarely","Sales",5,4,"Marketing",179,"Male",2,"Research Director","Divorced",66520,7,25,0,8,5,4,1,3,1,4,3,3,4,6.96512181238616,17,0,3
"180",30,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",180,"Male",1,"Sales Executive","Single",48500,0,12,1,4,4,3,1,2,4,2,3,3,3,6.47462079299216,20,0,3
"181",35,"No","Travel_Rarely","Research & Development",12,2,"Medical",181,"Female",2,"Sales Representative","Married",28090,4,23,1,10,2,8,0,0,4,3,3,1,4,8.87600436179982,19,242,3
"182",31,"Yes","Travel_Frequently","Research & Development",22,2,"Medical",182,"Female",2,"Sales Executive","Married",56890,3,15,2,12,2,1,0,0,1,3,3,2,3,6.58834186159844,33,0,3
"183",34,"Yes","Travel_Frequently","Sales",17,1,"Marketing",183,"Male",1,"Research Director","Divorced",20010,9,22,1,11,5,3,0,2,2,1,3,4,4,10.9955731364276,24,237,3
"184",42,"No","Travel_Frequently","Research & Development",2,4,"Medical",184,"Female",1,"Research Scientist","Married",29770,4,15,3,8,3,2,2,0,2,3,3,2,3,7.81065207156309,25,59,4
"185",36,"No","Non-Travel","Research & Development",3,4,"Medical",185,"Male",1,"Research Scientist","Single",40250,1,11,0,10,3,10,9,7,2,4,2,3,3,7.22925660291439,17,0,3
"186",22,"Yes","Travel_Frequently","Research & Development",7,3,"Medical",186,"Female",2,"Laboratory Technician","Single",37850,5,13,2,4,2,2,1,2,3,3,3,3,3,6.4193898385565,27,0,3
"187",48,"No","Travel_Rarely","Research & Development",6,3,"Medical",187,"Male",1,"Laboratory Technician","Married",108540,2,14,1,14,6,9,6,7,2,4,3,3,3,6.77962361712362,30,0,3
"188",55,"No","Travel_Rarely","Research & Development",1,3,"Medical",188,"Female",1,"Sales Executive","Single",120310,3,11,0,37,5,10,7,7,1,2,3,3,3,7.39080959164292,27,6,3
"189",41,"No","Non-Travel","Research & Development",3,2,"Life Sciences",189,"Female",2,"Research Scientist","Single",99360,7,17,1,16,2,14,1,10,4,4,3,2,3,6.19204951690821,31,0,4
"190",35,"No","Travel_Rarely","Research & Development",22,3,"Medical",190,"Female",1,"Sales Representative","Married",29660,9,18,0,15,2,11,6,9,2,3,3,2,3,6.01466022889843,28,0,3
"191",40,"No","Travel_Rarely","Research & Development",15,3,"Life Sciences",191,"Female",2,"Laboratory Technician","Single",25710,7,14,0,22,1,20,5,13,2,3,3,3,3,7.301029143898,17,3,3
"192",39,"No","Travel_Frequently","Research & Development",12,1,"Medical",192,"Male",1,"Research Scientist","Married",99910,1,16,1,8,3,8,0,7,3,3,3,3,3,7.06199724517906,19,0,3
"193",31,"No","Travel_Rarely","Research & Development",1,4,"Life Sciences",193,"Male",3,"Research Director","Single",61420,4,13,2,10,2,6,0,5,2,4,4,2,3,8.72473599632691,19,240,3
"194",42,"No","Travel_Rarely","Research & Development",5,3,"Medical",194,"Male",3,"Sales Executive","Married",53900,1,14,0,10,3,10,5,8,4,1,2,3,3,10.8076047551789,25,236,3
"195",45,"No","Travel_Rarely","Research & Development",2,1,"Medical",195,"Female",4,"Sales Executive","Married",44040,0,23,0,9,2,8,3,7,4,2,4,3,4,7.41028883972468,35,6,3
"197",29,"No","Travel_Rarely","Research & Development",5,3,"Medical",197,"Male",1,"Research Scientist","Divorced",51300,4,11,0,8,3,3,1,2,4,4,4,2,3,7.39301047758285,33,2,3
"198",33,"No","Travel_Rarely","Research & Development",16,3,"Medical",198,"Female",1,"Laboratory Technician","Divorced",20900,4,16,0,10,2,6,0,5,1,3,3,3,3,7.40258759797142,20,3,3
"199",31,"No","Travel_Rarely","Research & Development",2,4,"Life Sciences",199,"Female",1,"Sales Executive","Divorced",29090,9,14,2,10,2,5,0,1,3,4,2,3,3,6.71170821462488,27,0,3
"200",18,"Yes","Travel_Frequently","Research & Development",2,3,"Technical Degree",200,"Male",1,"Sales Executive","Single",34680,1,18,2,0,4,0,0,0,2,2,3,4,3,9.2302316735823,20,241,3
"201",40,"No","Non-Travel","Research & Development",1,4,"Technical Degree",201,"Female",2,"Laboratory Technician","Divorced",30680,3,19,0,20,3,1,0,1,3,1,3,2,3,6.88086006508601,22,0,3
"202",41,"No","Non-Travel","Research & Development",23,3,"Life Sciences",202,"Male",2,"Manufacturing Director","Single",26700,2,15,2,10,2,8,0,7,1,3,3,2,3,9.29257246376812,31,230,3
"203",26,"No","Travel_Rarely","Research & Development",9,4,"Medical",203,"Male",3,"Healthcare Representative","Divorced",26930,5,17,3,8,3,0,0,0,1,3,3,2,3,6.0161487142164,32,0,3
"204",35,"No","Travel_Rarely","Research & Development",16,4,"Medical",204,"Male",2,"Human Resources","Single",95260,1,15,0,5,2,5,0,3,1,3,3,2,3,6.32600024366472,33,0,3
"205",34,"No","Travel_Rarely","Research & Development",26,3,"Medical",205,"Male",1,"Laboratory Technician","Single",52370,1,19,1,10,3,10,5,7,4,4,3,2,3,6.40612165963432,24,0,3
"206",26,"Yes","Travel_Rarely","Sales",1,3,"Marketing",206,"Female",2,"Manufacturing Director","Single",24260,1,22,0,1,3,1,0,0,3,4,1,1,4,8.75142584644731,28,232,3
"207",37,"No","Travel_Rarely","Research & Development",8,1,"Life Sciences",207,"Male",1,"Sales Executive","Single",41930,4,16,1,12,5,6,1,2,2,4,4,3,3,7.3898275462963,21,8,3
"208",46,"No","Travel_Frequently","Research & Development",4,1,"Medical",208,"Male",5,"Human Resources","Married",29110,5,13,0,28,3,2,1,2,1,3,2,3,3,6.19618908382066,33,0,4
"209",41,"No","Travel_Rarely","Research & Development",24,1,"Life Sciences",209,"Male",1,"Research Director","Married",26610,7,14,1,22,2,18,11,8,2,1,3,3,3,7.70627963737796,22,45,3
"210",37,"No","Non-Travel","Research & Development",7,2,"Medical",210,"Male",1,"Sales Executive","Divorced",20280,1,16,1,9,3,9,7,7,1,2,3,3,3,7.50663439372983,20,15,3
"212",32,"Yes","Non-Travel","Research & Development",7,2,"Life Sciences",212,"Female",2,"Research Director","Married",32980,8,22,0,6,4,4,1,2,4,3,3,2,4,5.99324227754726,20,0,3
"213",24,"No","Travel_Frequently","Sales",22,3,"Life Sciences",213,"Female",1,"Healthcare Representative","Married",29350,0,14,2,3,5,2,2,1,4,4,3,2,3,6.03085629017447,19,0,3
"214",38,"No","Travel_Rarely","Research & Development",5,3,"Life Sciences",214,"Female",1,"Research Scientist","Married",154270,3,16,1,18,2,1,0,0,3,3,3,3,3,6.02010227801023,22,0,3
"215",37,"No","Travel_Rarely","Research & Development",1,4,"Technical Degree",215,"Female",5,"Research Scientist","Married",39440,6,11,2,8,3,6,4,3,2,2,2,3,3,6.89909517112049,24,0,3
"216",49,"No","Travel_Rarely","Sales",21,1,"Life Sciences",216,"Male",1,"Sales Executive","Divorced",40110,1,18,2,31,2,31,0,9,4,3,3,1,3,10.7816851083449,20,241,3
"217",24,"No","Travel_Rarely","Sales",1,3,"Marketing",217,"Female",1,"Sales Executive","Married",34070,1,15,2,6,2,6,1,4,2,4,3,2,3,8.9831265031265,30,231,3
"218",26,"No","Travel_Rarely","Research & Development",19,4,"Technical Degree",218,"Female",4,"Sales Executive","Married",119940,1,14,1,6,6,5,1,4,1,2,4,3,3,7.38342516069789,19,7,3
"219",24,"No","Travel_Rarely","Sales",7,3,"Medical",219,"Female",1,"Laboratory Technician","Married",12320,1,12,0,1,4,1,0,0,4,2,3,1,3,6.82366618773946,29,0,4
"220",50,"No","Travel_Frequently","Sales",2,2,"Marketing",220,"Male",1,"Sales Executive","Married",29600,1,14,3,32,2,32,10,7,1,2,3,3,3,6.78911657559199,17,0,3
"221",25,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",221,"Male",1,"Research Scientist","Married",190940,1,16,0,7,3,7,0,6,2,3,3,2,3,7.40931228585414,34,7,3
"222",24,"Yes","Travel_Frequently","Research & Development",2,3,"Medical",222,"Male",2,"Research Scientist","Married",39190,1,21,0,6,3,6,1,2,1,3,3,3,4,10.825435862692,15,246,3
"223",30,"Yes","Travel_Frequently","Research & Development",9,3,"Other",223,"Male",2,"Healthcare Representative","Married",68250,1,14,0,1,2,1,0,0,2,1,4,3,3,6.87765021459227,28,0,3
"224",34,"No","Travel_Rarely","Sales",6,2,"Life Sciences",224,"Male",4,"Research Director","Married",102480,1,12,1,6,4,6,1,3,2,4,3,3,3,8.90651394901395,30,231,3
"225",31,"Yes","Travel_Rarely","Research & Development",9,1,"Medical",225,"Female",1,"Sales Representative","Divorced",189470,2,12,2,9,2,3,1,2,2,1,1,2,3,6.68345188284519,22,0,3
"226",35,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",226,"Female",5,"Sales Executive","Single",24960,4,17,3,9,3,3,0,2,1,4,3,3,3,7.92449558344956,22,91,3
"227",31,"No","Travel_Rarely","Sales",1,3,"Marketing",227,"Female",2,"Sales Executive","Divorced",64650,4,17,0,13,3,7,5,7,1,4,4,3,3,6.31050332383666,27,0,3
"228",27,"No","Travel_Rarely","Sales",22,4,"Medical",228,"Male",1,"Sales Representative","Divorced",22060,0,14,1,6,4,5,0,3,1,3,2,3,3,7.88792654579265,22,77,4
"229",37,"No","Travel_Rarely","Sales",9,4,"Marketing",229,"Female",2,"Laboratory Technician","Married",20860,4,14,0,17,3,3,1,0,4,3,2,3,3,8.88287951531779,18,243,3
"230",20,"No","Travel_Rarely","Research & Development",17,4,"Medical",230,"Female",1,"Sales Representative","Single",22930,1,13,2,1,3,1,0,0,4,2,4,1,3,7.08990013774105,19,0,3
"231",42,"No","Travel_Rarely","Research & Development",28,4,"Life Sciences",231,"Female",2,"Manufacturing Director","Married",26450,1,15,0,10,5,10,2,2,3,4,3,3,3,7.49081560283688,26,12,3
"232",43,"No","Travel_Rarely","Research & Development",10,5,"Technical Degree",232,"Female",2,"Sales Executive","Divorced",26830,4,11,0,21,3,1,0,0,2,4,2,3,3,8.68553854875283,16,242,3
"233",38,"No","Travel_Rarely","Human Resources",2,4,"Medical",233,"Male",1,"Human Resources","Single",20140,3,17,1,8,5,0,0,0,3,1,2,4,3,6.80244834710744,19,0,3
"234",43,"No","Travel_Frequently","Sales",4,3,"Medical",234,"Female",2,"Healthcare Representative","Divorced",34190,3,11,1,10,5,8,4,7,4,3,3,3,3,9.12642203932327,18,243,3
"235",48,"No","Travel_Rarely","Research & Development",8,1,"Medical",235,"Male",2,"Laboratory Technician","Married",53760,7,13,1,21,3,3,0,2,4,1,1,4,3,7.01658696671355,24,1,3
"236",44,"No","Travel_Rarely","Sales",29,4,"Marketing",236,"Male",2,"Sales Executive","Single",19510,4,22,3,10,4,2,0,2,1,3,4,4,4,6.70429702729045,33,0,5
"237",34,"No","Travel_Rarely","Research & Development",13,4,"Life Sciences",237,"Female",1,"Laboratory Technician","Divorced",23410,1,20,2,8,3,8,0,6,3,3,3,2,4,8.40203862660944,28,214,3
"238",27,"Yes","Travel_Rarely","Sales",27,3,"Life Sciences",238,"Male",2,"Research Scientist","Divorced",22930,0,18,0,5,0,4,0,2,3,1,3,3,3,6.48307415155741,22,0,3
"239",21,"No","Travel_Rarely","Sales",16,2,"Life Sciences",239,"Male",3,"Sales Executive","Single",87260,1,11,1,3,2,3,1,2,3,3,3,1,3,7.23310024154589,31,1,3
"240",44,"No","Travel_Rarely","Research & Development",2,2,"Life Sciences",240,"Male",1,"Laboratory Technician","Married",40110,4,14,1,26,2,2,0,1,4,4,4,3,3,8.69020202020202,30,227,3
"241",22,"No","Travel_Rarely","Research & Development",2,2,"Medical",241,"Female",2,"Laboratory Technician","Married",195450,0,14,0,3,3,2,2,2,1,3,3,2,3,6.03734214390602,34,0,3
"242",33,"No","Travel_Rarely","Sales",13,4,"Marketing",242,"Female",2,"Manufacturing Director","Divorced",45680,0,18,1,6,2,5,1,2,3,3,3,3,3,7.28216548463357,26,2,4
"243",32,"No","Travel_Rarely","Research & Development",1,1,"Life Sciences",243,"Female",1,"Healthcare Representative","Married",30220,1,16,1,6,3,6,0,5,1,4,2,3,3,9.37723714416896,19,242,3
"244",30,"No","Travel_Frequently","Research & Development",4,5,"Technical Degree",244,"Male",3,"Manager","Divorced",57720,1,17,0,1,3,1,0,0,3,3,3,3,3,7.30983005157056,24,2,4
"245",53,"No","Travel_Rarely","Research & Development",24,3,"Other",245,"Female",3,"Manager","Single",22690,7,11,1,18,2,14,8,10,4,1,4,2,3,7.11375295508274,26,0,3
"246",34,"No","Travel_Rarely","Research & Development",1,5,"Medical",246,"Male",1,"Research Scientist","Married",53810,1,12,0,10,0,10,8,8,2,4,2,3,3,7.43847745234774,22,8,3
"247",45,"Yes","Travel_Frequently","Research & Development",19,4,"Life Sciences",247,"Male",3,"Research Director","Married",34410,2,13,1,5,5,1,0,0,1,1,3,3,3,7.57411306042885,33,20,3
"248",26,"No","Travel_Rarely","Research & Development",7,2,"Life Sciences",248,"Male",1,"Manufacturing Director","Married",54540,1,13,1,3,5,3,0,2,3,4,3,4,3,9.9631910291439,17,244,3
"249",37,"No","Travel_Rarely","Research & Development",4,3,"Medical",249,"Male",1,"Manager","Married",98840,1,14,0,10,3,10,7,8,3,3,3,2,3,6.21498132586368,23,0,3
"250",29,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",250,"Female",1,"Healthcare Representative","Married",41570,1,17,3,6,2,6,1,2,2,3,2,3,3,6.81072412155746,27,0,4
"251",35,"No","Travel_Rarely","Research & Development",10,5,"Medical",251,"Female",4,"Laboratory Technician","Single",134580,1,11,0,17,3,17,11,8,2,4,3,3,3,6.65586615096109,24,0,3
"252",33,"No","Travel_Frequently","Research & Development",8,3,"Technical Degree",252,"Male",2,"Laboratory Technician","Divorced",90690,3,25,1,15,3,13,4,7,3,4,1,3,4,7.51491046831956,19,15,3
"253",54,"No","Travel_Rarely","Research & Development",5,2,"Life Sciences",253,"Female",2,"Sales Executive","Married",40140,2,19,1,16,4,9,7,1,3,2,4,2,3,6.40839790448343,33,0,3
"254",36,"No","Travel_Rarely","Research & Development",8,3,"Life Sciences",254,"Male",2,"Research Scientist","Divorced",59150,2,13,1,13,3,3,0,2,2,2,3,2,3,10.7029606188467,24,237,3
"255",27,"No","Travel_Rarely","Sales",9,3,"Marketing",255,"Male",5,"Research Director","Single",59930,0,14,1,5,3,4,1,1,1,4,3,1,3,7.00321980676329,31,0,3
"256",20,"Yes","Travel_Rarely","Research & Development",1,3,"Life Sciences",256,"Male",5,"Sales Representative","Single",61620,1,12,3,1,2,1,1,1,4,3,3,2,3,8.62908963585434,23,236,3
"257",33,"Yes","Travel_Frequently","Research & Development",15,4,"Medical",257,"Female",1,"Laboratory Technician","Single",24060,1,11,0,10,3,10,9,7,1,1,3,3,3,10.4026388888889,15,246,3
"258",35,"No","Non-Travel","Research & Development",2,1,"Medical",258,"Male",1,"Research Scientist","Married",187400,1,19,1,1,2,1,0,0,3,3,3,4,3,6.73113275613276,30,0,3
"259",23,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",259,"Male",1,"Healthcare Representative","Married",76370,2,11,1,5,3,3,0,2,1,1,4,3,3,7.08994064577398,27,0,4
"260",25,"No","Travel_Rarely","Research & Development",11,3,"Medical",260,"Male",2,"Manufacturing Director","Married",100960,0,11,1,4,3,3,1,2,4,2,3,3,3,7.68078722913785,20,35,3
"261",38,"No","Travel_Rarely","Research & Development",16,3,"Life Sciences",261,"Male",5,"Research Scientist","Single",147560,0,20,1,8,3,7,0,5,4,4,3,2,4,6.79877180899908,19,0,3
"262",29,"No","Travel_Frequently","Sales",2,4,"Life Sciences",262,"Male",4,"Healthcare Representative","Divorced",64990,1,18,3,10,3,10,2,8,2,4,3,2,3,7.80546943231441,32,58,3
"263",48,"No","Travel_Rarely","Research & Development",16,3,"Technical Degree",263,"Male",1,"Sales Executive","Married",97240,3,13,0,12,2,2,2,2,2,2,3,4,3,7.09840338164251,31,1,3
"264",27,"No","Travel_Frequently","Sales",4,3,"Technical Degree",264,"Male",5,"Laboratory Technician","Divorced",21940,1,12,0,6,5,6,0,4,4,4,3,3,3,8.88621676163343,27,234,3
"265",37,"No","Travel_Rarely","Research & Development",16,3,"Life Sciences",265,"Male",3,"Manager","Single",33880,3,11,0,4,2,1,0,0,4,4,3,4,3,7.6048993207181,32,25,3
"266",50,"No","Travel_Rarely","Sales",5,3,"Medical",266,"Male",1,"Laboratory Technician","Married",54730,1,19,1,20,2,20,3,8,4,3,3,4,3,9.11923328816622,15,246,3
"267",34,"No","Travel_Rarely","Research & Development",18,1,"Medical",267,"Male",1,"Healthcare Representative","Single",27030,1,21,1,9,2,8,7,7,4,2,4,3,4,6.82073994252874,29,0,3
"268",24,"Yes","Travel_Rarely","Research & Development",17,2,"Life Sciences",268,"Female",1,"Healthcare Representative","Single",25010,9,12,0,4,3,2,2,0,1,3,3,1,3,7.51269824804057,20,13,3
"269",39,"No","Travel_Rarely","Research & Development",12,5,"Medical",269,"Female",1,"Sales Representative","Single",62200,1,14,2,20,2,20,11,10,4,3,3,3,3,6.71249165474487,28,0,3
"270",32,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",270,"Male",5,"Research Scientist","Single",30380,1,11,0,10,5,10,0,8,4,4,2,1,3,7.89916547958215,27,78,3
